Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe Ville annexe	Téléphone annexe	Fax annexe	Type	Siren membre	Nom membre	Représentation-substitution	Compétence conservée	Population membre	Adhésion siren 	Adhésion nom 	Adhésion population 	C1004	C1010	C1015	C1020	C1025	C1030	C1502	C1505	C1507	C1510	C1515	C1520	C1525	C1528	C1529	C1530	C1531	C1532	C1533	C1534	C1535	C1540	C1545	C1550	C1555	C1560	C2005	C2010	C2015	C2510	C2515	C2520	C2521	C2525	C2526	C3005	C3010	C3015	C3020	C3025	C3210	C3220	C3505	C3510	C3515	C4005	C4006	C4007	C4008	C4010	C4015	C4016	C4017	C4020	C4025	C4505	C4510	C4515	C4520	C4525	C4530	C4531	C4532	C4535	C4540	C4545	C4550	C4555	C4560	C5005	C5010	C5015	C5210	C5220	C5505	C5510	C5515	C5520	C5525	C5530	C5535	C5540	C5545	C5550	C5555	C7005	C7010	C7012	C7015	C7020	C7025	C7030	C9905	C9910	C9915	C9920	C9922	C9923	C9924	C9925	C9930	C9935	C9940	C9950	C9999	
24 - Centre-Val de Loire	18 - Cher	1 - Bourges	211800339 - Bourges	241800507	CA Bourges Plus	CA	0	0	2002-10-21	2002-10-21	ACCOR		17	104700	44	FPU	0	1	0	assainissement	0	 	Mme	Irène	FELIX		23-31 Boulevard Foch	BP 500	18023 BOURGES Cedex	02 48 48 58 58	    	info@agglo-bourgesplus.fr	www.agglo-bourgesplus.fr	23-31 boulevard Foch	B.P. 500		18023 Bourges Cedex	02 48 48 58 58	    	Commune	211800065	Annoix	0	0	247	200087849	Centre-Cher	199879	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	
24 - Centre-Val de Loire	18 - Cher	1 - Bourges	211800339 - Bourges	241800507	CA Bourges Plus	CA	0	0	2002-10-21	2002-10-21	ACCOR		17	104700	44	FPU	0	1	0	assainissement	0	 	Mme	Irène	FELIX		23-31 Boulevard Foch	BP 500	18023 BOURGES Cedex	02 48 48 58 58	    	info@agglo-bourgesplus.fr	www.agglo-bourgesplus.fr	23-31 boulevard Foch	B.P. 500		18023 Bourges Cedex	02 48 48 58 58	    	Commune	211800081	Arçay	0	0	497	200078491	SI de la vallée de l'Yèvre	160785	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	
24 - Centre-Val de Loire	18 - Cher	1 - Bourges	211800339 - Bourges	241800507	CA Bourges Plus	CA	0	0	2002-10-21	2002-10-21	ACCOR		17	104700	44	FPU	0	1	0	assainissement	0	 	Mme	Irène	FELIX		23-31 Boulevard Foch	BP 500	18023 BOURGES Cedex	02 48 48 58 58	    	info@agglo-bourgesplus.fr	www.agglo-bourgesplus.fr	23-31 boulevard Foch	B.P. 500		18023 Bourges Cedex	02 48 48 58 58	    	Commune	211800289	Berry-Bouy	0	0	1205	200078707	Syndicat pour l'aménagement des bassins de l'Auron, de l'Airain et de leurs affluents (SIAB3A)	95092	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	
24 - Centre-Val de Loire	18 - Cher	1 - Bourges	211800339 - Bourges	241800507	CA Bourges Plus	CA	0	0	2002-10-21	2002-10-21	ACCOR		17	104700	44	FPU	0	1	0	assainissement	0	 	Mme	Irène	FELIX		23-31 Boulevard Foch	BP 500	18023 BOURGES Cedex	02 48 48 58 58	    	info@agglo-bourgesplus.fr	www.agglo-bourgesplus.fr	23-31 boulevard Foch	B.P. 500		18023 Bourges Cedex	02 48 48 58 58	    	Commune	211800339	Bourges	0	0	65723	251801239	SIVOTU (nouvelle dénomination le 24/02/2010:AGGLOBUS)	114184	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	
24 - Centre-Val de Loire	18 - Cher	1 - Bourges	211800339 - Bourges	241800507	CA Bourges Plus	CA	0	0	2002-10-21	2002-10-21	ACCOR		17	104700	44	FPU	0	1	0	assainissement	0	 	Mme	Irène	FELIX		23-31 Boulevard Foch	BP 500	18023 BOURGES Cedex	02 48 48 58 58	    	info@agglo-bourgesplus.fr	www.agglo-bourgesplus.fr	23-31 boulevard Foch	B.P. 500		18023 Bourges Cedex	02 48 48 58 58	    	Commune	211800503	La Chapelle-Saint-Ursin	0	0	3772	241800549	Syndicat départemental d'énergie du Cher	323656	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	
24 - Centre-Val de Loire	18 - Cher	1 - Bourges	211800339 - Bourges	241800507	CA Bourges Plus	CA	0	0	2002-10-21	2002-10-21	ACCOR		17	104700	44	FPU	0	1	0	assainissement	0	 	Mme	Irène	FELIX		23-31 Boulevard Foch	BP 500	18023 BOURGES Cedex	02 48 48 58 58	    	info@agglo-bourgesplus.fr	www.agglo-bourgesplus.fr	23-31 boulevard Foch	B.P. 500		18023 Bourges Cedex	02 48 48 58 58	    	Commune	211802558	Le Subdray	0	0	1189	200049948	Syndicat du canal de Berry	135751	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	
24 - Centre-Val de Loire	18 - Cher	1 - Bourges	211800339 - Bourges	241800507	CA Bourges Plus	CA	0	0	2002-10-21	2002-10-21	ACCOR		17	104700	44	FPU	0	1	0	assainissement	0	 	Mme	Irène	FELIX		23-31 Boulevard Foch	BP 500	18023 BOURGES Cedex	02 48 48 58 58	    	info@agglo-bourgesplus.fr	www.agglo-bourgesplus.fr	23-31 boulevard Foch	B.P. 500		18023 Bourges Cedex	02 48 48 58 58	    	Commune	211801295	Lissay-Lochy	0	0	232	200041481	Berry Numérique	303849	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	
24 - Centre-Val de Loire	18 - Cher	1 - Bourges	211800339 - Bourges	241800507	CA Bourges Plus	CA	0	0	2002-10-21	2002-10-21	ACCOR		17	104700	44	FPU	0	1	0	assainissement	0	 	Mme	Irène	FELIX		23-31 Boulevard Foch	BP 500	18023 BOURGES Cedex	02 48 48 58 58	    	info@agglo-bourgesplus.fr	www.agglo-bourgesplus.fr	23-31 boulevard Foch	B.P. 500		18023 Bourges Cedex	02 48 48 58 58	    	Commune	211801386	Marmagne	0	0	1957	251802294	SMAERC	11713	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	
24 - Centre-Val de Loire	18 - Cher	1 - Bourges	211800339 - Bourges	241800507	CA Bourges Plus	CA	0	0	2002-10-21	2002-10-21	ACCOR		17	104700	44	FPU	0	1	0	assainissement	0	 	Mme	Irène	FELIX		23-31 Boulevard Foch	BP 500	18023 BOURGES Cedex	02 48 48 58 58	    	info@agglo-bourgesplus.fr	www.agglo-bourgesplus.fr	23-31 boulevard Foch	B.P. 500		18023 Bourges Cedex	02 48 48 58 58	    	Commune	211801410	Mehun-sur-Yèvre	0	0	6535	254502008	Etablissement public Loire	4483806	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	
24 - Centre-Val de Loire	18 - Cher	1 - Bourges	211800339 - Bourges	241800507	CA Bourges Plus	CA	0	0	2002-10-21	2002-10-21	ACCOR		17	104700	44	FPU	0	1	0	assainissement	0	 	Mme	Irène	FELIX		23-31 Boulevard Foch	BP 500	18023 BOURGES Cedex	02 48 48 58 58	    	info@agglo-bourgesplus.fr	www.agglo-bourgesplus.fr	23-31 boulevard Foch	B.P. 500		18023 Bourges Cedex	02 48 48 58 58	    	Commune	211801576	Morthomiers	0	0	814				0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	
