Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe Ville annexe	Téléphone annexe	Fax annexe	Type	Siren membre	Nom membre	Représentation-substitution	Compétence conservée	Population membre	Adhésion siren 	Adhésion nom 	Adhésion population 	C1004	C1010	C1015	C1020	C1025	C1030	C1502	C1505	C1507	C1510	C1515	C1520	C1525	C1528	C1529	C1530	C1531	C1532	C1533	C1534	C1535	C1540	C1545	C1550	C1555	C1560	C2005	C2010	C2015	C2510	C2515	C2520	C2521	C2525	C2526	C3005	C3010	C3015	C3020	C3025	C3210	C3220	C3505	C3510	C3515	C4005	C4006	C4007	C4008	C4010	C4015	C4016	C4017	C4020	C4025	C4505	C4510	C4515	C4520	C4525	C4530	C4531	C4532	C4535	C4540	C4545	C4550	C4555	C4560	C5005	C5010	C5015	C5210	C5220	C5505	C5510	C5515	C5520	C5525	C5530	C5535	C5540	C5545	C5550	C5555	C7005	C7010	C7012	C7015	C7020	C7025	C7030	C9905	C9910	C9915	C9920	C9922	C9923	C9924	C9925	C9930	C9935	C9940	C9950	C9999	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212000046 - Ajaccio	242010056	CA du Pays Ajaccien	CA	0	0	2001-12-15	2001-12-31	RDC		10	92333	38	FPU	0	0	0	Eau, Assainissement	1	Versement transport	M.	Stéphane	SBRAGGIA	Immeuble Alban Bâtiments G et H 18	Rue Comte de Marbeuf		20000 AJACCIO	04 95 52 95 00	04 95 52 53 40	contact@ca-ajaccien.fr		Immeuble Alban Bât G et H	Rue Antoine Sollacaro		20000 AJACCIO	    	04 95 52 53 40	Commune	212000012	Afa	0	0	3395	200061364	SM du grand site des îles Sanguinaires et de la Pointe de la Parata	92333	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212000046 - Ajaccio	242010056	CA du Pays Ajaccien	CA	0	0	2001-12-15	2001-12-31	RDC		10	92333	38	FPU	0	0	0	Eau, Assainissement	1	Versement transport	M.	Stéphane	SBRAGGIA	Immeuble Alban Bâtiments G et H 18	Rue Comte de Marbeuf		20000 AJACCIO	04 95 52 95 00	04 95 52 53 40	contact@ca-ajaccien.fr		Immeuble Alban Bât G et H	Rue Antoine Sollacaro		20000 AJACCIO	    	04 95 52 53 40	Commune	212000046	Ajaccio	0	0	74632	200009827	SM pour la valorisation des déchets de Corse (SYVADEC)	329021	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212000046 - Ajaccio	242010056	CA du Pays Ajaccien	CA	0	0	2001-12-15	2001-12-31	RDC		10	92333	38	FPU	0	0	0	Eau, Assainissement	1	Versement transport	M.	Stéphane	SBRAGGIA	Immeuble Alban Bâtiments G et H 18	Rue Comte de Marbeuf		20000 AJACCIO	04 95 52 95 00	04 95 52 53 40	contact@ca-ajaccien.fr		Immeuble Alban Bât G et H	Rue Antoine Sollacaro		20000 AJACCIO	    	04 95 52 53 40	Commune	212000061	Alata	0	0	3659				0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212000046 - Ajaccio	242010056	CA du Pays Ajaccien	CA	0	0	2001-12-15	2001-12-31	RDC		10	92333	38	FPU	0	0	0	Eau, Assainissement	1	Versement transport	M.	Stéphane	SBRAGGIA	Immeuble Alban Bâtiments G et H 18	Rue Comte de Marbeuf		20000 AJACCIO	04 95 52 95 00	04 95 52 53 40	contact@ca-ajaccien.fr		Immeuble Alban Bât G et H	Rue Antoine Sollacaro		20000 AJACCIO	    	04 95 52 53 40	Commune	212000178	Appietto	0	0	1810				0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212000046 - Ajaccio	242010056	CA du Pays Ajaccien	CA	0	0	2001-12-15	2001-12-31	RDC		10	92333	38	FPU	0	0	0	Eau, Assainissement	1	Versement transport	M.	Stéphane	SBRAGGIA	Immeuble Alban Bâtiments G et H 18	Rue Comte de Marbeuf		20000 AJACCIO	04 95 52 95 00	04 95 52 53 40	contact@ca-ajaccien.fr		Immeuble Alban Bât G et H	Rue Antoine Sollacaro		20000 AJACCIO	    	04 95 52 53 40	Commune	212001036	Cuttoli-Corticchiato	0	0	2063				0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212000046 - Ajaccio	242010056	CA du Pays Ajaccien	CA	0	0	2001-12-15	2001-12-31	RDC		10	92333	38	FPU	0	0	0	Eau, Assainissement	1	Versement transport	M.	Stéphane	SBRAGGIA	Immeuble Alban Bâtiments G et H 18	Rue Comte de Marbeuf		20000 AJACCIO	04 95 52 95 00	04 95 52 53 40	contact@ca-ajaccien.fr		Immeuble Alban Bât G et H	Rue Antoine Sollacaro		20000 AJACCIO	    	04 95 52 53 40	Commune	212002091	Peri	0	0	2086				0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212000046 - Ajaccio	242010056	CA du Pays Ajaccien	CA	0	0	2001-12-15	2001-12-31	RDC		10	92333	38	FPU	0	0	0	Eau, Assainissement	1	Versement transport	M.	Stéphane	SBRAGGIA	Immeuble Alban Bâtiments G et H 18	Rue Comte de Marbeuf		20000 AJACCIO	04 95 52 95 00	04 95 52 53 40	contact@ca-ajaccien.fr		Immeuble Alban Bât G et H	Rue Antoine Sollacaro		20000 AJACCIO	    	04 95 52 53 40	Commune	212002711	Sarrola-Carcopino	0	0	3329				0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212000046 - Ajaccio	242010056	CA du Pays Ajaccien	CA	0	0	2001-12-15	2001-12-31	RDC		10	92333	38	FPU	0	0	0	Eau, Assainissement	1	Versement transport	M.	Stéphane	SBRAGGIA	Immeuble Alban Bâtiments G et H 18	Rue Comte de Marbeuf		20000 AJACCIO	04 95 52 95 00	04 95 52 53 40	contact@ca-ajaccien.fr		Immeuble Alban Bât G et H	Rue Antoine Sollacaro		20000 AJACCIO	    	04 95 52 53 40	Commune	212003230	Tavaco	0	0	409				0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212000046 - Ajaccio	242010056	CA du Pays Ajaccien	CA	0	0	2001-12-15	2001-12-31	RDC		10	92333	38	FPU	0	0	0	Eau, Assainissement	1	Versement transport	M.	Stéphane	SBRAGGIA	Immeuble Alban Bâtiments G et H 18	Rue Comte de Marbeuf		20000 AJACCIO	04 95 52 95 00	04 95 52 53 40	contact@ca-ajaccien.fr		Immeuble Alban Bât G et H	Rue Antoine Sollacaro		20000 AJACCIO	    	04 95 52 53 40	Commune	212003362	Valle-di-Mezzana	0	0	549				0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212000046 - Ajaccio	242010056	CA du Pays Ajaccien	CA	0	0	2001-12-15	2001-12-31	RDC		10	92333	38	FPU	0	0	0	Eau, Assainissement	1	Versement transport	M.	Stéphane	SBRAGGIA	Immeuble Alban Bâtiments G et H 18	Rue Comte de Marbeuf		20000 AJACCIO	04 95 52 95 00	04 95 52 53 40	contact@ca-ajaccien.fr		Immeuble Alban Bât G et H	Rue Antoine Sollacaro		20000 AJACCIO	    	04 95 52 53 40	Commune	212003511	Villanova	0	0	401				0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
