Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
94 - Corse	2B - Haute-Corse	2 - Bastia	212000335 - Bastia	242000354	CA de Bastia	CA	0	0	1966-01-06	2001-12-24	RDC		5	63871	34	FPU	0	1	0	Autres taxes et redevances assainissement	0	Surtaxes et redevance contrôle	M.	Louis	POZZO DI BORGO	Port de Toga		BP 97	20291 BASTIA Cedex	04 95 55 18 18	04 95 32 70 51		www.bastia-agglomeration.com				 	    	04 95 32 70 51	
94 - Corse	2B - Haute-Corse	3 - Corte	212000095 - Aléria	200015162	CC de l'Oriente	CC	0	0	2008-04-16	2008-04-16	RDC		22	6132	18	ASZSE	0	0	0		0		M.	Jean Claude	FRANCESCHI	Catéraggio			20270 Aléria	    	    						 	    	    	
94 - Corse	2B - Haute-Corse	3 - Corte	212001234 - Ghisonaccia	200033827	CC de Fium'Orbu Castellu	CC	0	0	2012-10-11	2013-01-01	RDC		13	13396	15	ASZSE	0	0	0		0		M.	Francis	GIUDICI	Ghisonaccia			2040 GHISONACCIA	    	    						 	    	    	
94 - Corse	2B - Haute-Corse	3 - Corte	212003131 - San-Nicolao	200034205	CC de la Costa Verde	CC	0	0	2012-10-26	2013-01-01	RDC		23	10943	26	ASZSE	0	0	0	 	0	 	M.	Marc-Antoine	NICOLAÏ	Mairie de San Nicolao			20230 SAN NICOLAO	    	    						 	    	    	
94 - Corse	2B - Haute-Corse	2 - Bastia	212001481 - Lucciana	200036499	CC de Marana-Golo	CC	0	0	2012-12-31	2013-01-01	RDC		10	25193	18	ASZSE	0	0	0	 	0	 	M.	Jean	DOMINICI	Route de l'Aéroport			20290 LUCCIANA	    	    						 	    	    	
94 - Corse	2B - Haute-Corse	2 - Bastia	212000434 - Brando	200042943	CC du Cap Corse	CC	0	0	2014-01-01	2014-01-01	RDC		18	6720	21	ASZSE	0	0	0		0		M.	Patrick	SANGUINETTI	Résidence les Jardins d'Erbalunga	Bâtiment A et B - U Campu		20222 Brando	04 95 31 02 32	04 95 31 75 85		www.destination-cap-corse.com				 	    	04 95 31 75 85	
94 - Corse	2B - Haute-Corse	5 - Calvi	212001341 - L'Île-Rousse	200073104	CC de l'Ile-Rousse - Balagne	CC	0	0	2016-12-23	2017-01-01	RDC		22	11078	31	FPU	0	0	0		0		M.	Lionel	MORTINI	Lieu-dit E Padule			20220 ILE ROUSSE	04 95 46 31 34	    						 	    	    	
94 - Corse	2B - Haute-Corse	5 - Calvi	212001853 - Oletta	200073120	CC Nebbiu - Conca d'Oro	CC	0	0	2016-12-20	2017-01-01	RDC		15	7774	19	ASZSE	0	0	0		0		M.	Claudy	OLMETA	Casa Communa			20232 OLETTA	04 95 39 01 09	04 95 39 07 59						 	    	04 95 39 07 59	
94 - Corse	2B - Haute-Corse	3 - Corte	212001937 - Omessa	200073138	CC Pasquale Paoli	CC	0	0	2016-12-20	2017-01-01	RDC		42	6173	31	ASZSE	0	0	0		0		M.	François	SARGENTINI	Site Prumitei - Francardo			20236 OMESSA	    	    						 	    	04 95 47 45 41	
94 - Corse	2B - Haute-Corse	3 - Corte	212003461 - Vescovato	200073252	CC de la Castagniccia-Casinca	CC	0	0	2016-12-27	2017-01-01	RDC		42	13013	29	ASZSE	0	0	0		0		M.	Antoine	POLI	Aréna	RN 198		20215 VESCOVATO	04 95 30 61 09	04 95 30 77 68	contact@casinca.fr					 	    	04 95 30 77 68	
94 - Corse	2B - Haute-Corse	3 - Corte	212000962 - Corte	242020071	CC du Centre Corse	CC	0	0	2000-10-05	2000-10-05	RDC		10	10085	16	ASZSE	0	0	0	 	1	Taxe de séjour	M.	Antoine	ORSINI	Zone Artisanale	RT 50	BP 300	20250 CORTE	04 95 47 04 04	04 95 47 71 78		www.centre-corse.com				 	    	04 95 47 71 78	
94 - Corse	2B - Haute-Corse	5 - Calvi	212000509 - Calvi	242020105	CC de Calvi Balagne	CC	0	0	2002-12-17	2002-12-17	RDC		14	12874	17	FPU	0	0	0	Redevance spéciale Ordures Ménagères	1	 	M.	François-Marie	MARCHETTI		4 Bis Avenue du commandant Marche		20620 CALVI	04 95 62 88 41	04 95 33 49 32						 	    	04 95 33 49 32	
94 - Corse	2B - Haute-Corse	2 - Bastia	212002612 - Rogliano	200022697	SI d'assainissement du territoire des communes de Rogliano et Tomino	SIVU	0	0	2009-11-16	2009-11-16	MEMNB		2	735	2	CBUDG	0	0	0	redevances des usagers	0	subventions, dons et legs et emprunts	M.	Patrice	QUILICI	Mairie de Rogliano			20247 ROGLIANO	    	    						 	    	    	
94 - Corse	2B - Haute-Corse	2 - Bastia	212003099 - Santa-Maria-di-Lota	252000526	SI du relais TV de Lota	SIVU	0	0	1974-03-22	1974-03-22	MEMNB		3	6660	1	CBUDG	0	0	0		0		M.	Frédéric	GUAITELLA	Mairie de Santa Maria di Lota	Miomo		20200 	04 95 33 24 99	04 95 33 97 77						 	    	04 95 33 97 77	
94 - Corse	2B - Haute-Corse	2 - Bastia	212003271 - Tomino	252000682	SI de Tomino, Meria, Rogliano	SIVU	0	0	1966-07-04	1966-07-04	MEMNB		3	815	2	CBUDG	0	0	0	 	0	 	M.	André	COSTA	Mairie de Tomino			20248 Tomino	04 95 35 42 37	    						 	    	    	
94 - Corse	2B - Haute-Corse	3 - Corte	212001432 - Linguizzetta	252000716	SI de la plaine de Linguizetta	SIVU	0	0	1957-05-28	1957-05-28	MEMNB		3	2188	1	CBUDG	0	0	0		0		M.	Jean	SANTINI	Mairie de Linguizetta			20230 LINGUIZETTA	04 95 38 90 10	04 95 38 89 73						 	    	04 95 38 89 73	
94 - Corse	2B - Haute-Corse	3 - Corte	212000798 - Castello-di-Rostino	252000732	SIVU du Bas Rostino	SIVU	0	0	1961-03-16	1961-03-16	MEMNB		3	877	1	CBUDG	0	0	0	 	0	 	M.	Jean	BRIGNOLE	Mairie de Castello di Rostino			20235 CASTELLO DI ROSTINO	04 95 38 70 34	    						 	    	    	
