Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe Ville annexe	Téléphone annexe	Fax annexe	Type	Siren membre	Nom membre	Représentation-substitution	Compétence conservée	Population membre	Adhésion siren 	Adhésion nom 	Adhésion population 	C1004	C1010	C1015	C1020	C1025	C1030	C1502	C1505	C1507	C1510	C1515	C1520	C1525	C1528	C1529	C1530	C1531	C1532	C1533	C1534	C1535	C1540	C1545	C1550	C1555	C1560	C2005	C2010	C2015	C2510	C2515	C2520	C2521	C2525	C2526	C3005	C3010	C3015	C3020	C3025	C3210	C3220	C3505	C3510	C3515	C4005	C4006	C4007	C4008	C4010	C4015	C4016	C4017	C4020	C4025	C4505	C4510	C4515	C4520	C4525	C4530	C4531	C4532	C4535	C4540	C4545	C4550	C4555	C4560	C5005	C5010	C5015	C5210	C5220	C5505	C5510	C5515	C5520	C5525	C5530	C5535	C5540	C5545	C5550	C5555	C7005	C7010	C7012	C7015	C7020	C7025	C7030	C9905	C9910	C9915	C9920	C9922	C9923	C9924	C9925	C9930	C9935	C9940	C9950	C9999	
94 - Corse	2B - Haute-Corse	2 - Bastia	212000335 - Bastia	242000354	CA de Bastia	CA	0	0	1966-01-06	2001-12-24	RDC		5	63871	34	FPU	0	1	0	Autres taxes et redevances assainissement	0	Surtaxes et redevance contrôle	M.	Louis	POZZO DI BORGO	Port de Toga		BP 97	20291 BASTIA Cedex	04 95 55 18 18	04 95 32 70 51		www.bastia-agglomeration.com				 	    	04 95 32 70 51	Commune	212000335	Bastia			49376	200009827	SM pour la valorisation des déchets de Corse (SYVADEC)	329021	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	
94 - Corse	2B - Haute-Corse	2 - Bastia	212000335 - Bastia	242000354	CA de Bastia	CA	0	0	1966-01-06	2001-12-24	RDC		5	63871	34	FPU	0	1	0	Autres taxes et redevances assainissement	0	Surtaxes et redevance contrôle	M.	Louis	POZZO DI BORGO	Port de Toga		BP 97	20291 BASTIA Cedex	04 95 55 18 18	04 95 32 70 51		www.bastia-agglomeration.com				 	    	04 95 32 70 51	Commune	212001200	Furiani			6153				0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	
94 - Corse	2B - Haute-Corse	2 - Bastia	212000335 - Bastia	242000354	CA de Bastia	CA	0	0	1966-01-06	2001-12-24	RDC		5	63871	34	FPU	0	1	0	Autres taxes et redevances assainissement	0	Surtaxes et redevance contrôle	M.	Louis	POZZO DI BORGO	Port de Toga		BP 97	20291 BASTIA Cedex	04 95 55 18 18	04 95 32 70 51		www.bastia-agglomeration.com				 	    	04 95 32 70 51	Commune	212003057	San-Martino-di-Lota			2978				0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	
94 - Corse	2B - Haute-Corse	2 - Bastia	212000335 - Bastia	242000354	CA de Bastia	CA	0	0	1966-01-06	2001-12-24	RDC		5	63871	34	FPU	0	1	0	Autres taxes et redevances assainissement	0	Surtaxes et redevance contrôle	M.	Louis	POZZO DI BORGO	Port de Toga		BP 97	20291 BASTIA Cedex	04 95 55 18 18	04 95 32 70 51		www.bastia-agglomeration.com				 	    	04 95 32 70 51	Commune	212003099	Santa-Maria-di-Lota			2068				0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	
94 - Corse	2B - Haute-Corse	2 - Bastia	212000335 - Bastia	242000354	CA de Bastia	CA	0	0	1966-01-06	2001-12-24	RDC		5	63871	34	FPU	0	1	0	Autres taxes et redevances assainissement	0	Surtaxes et redevance contrôle	M.	Louis	POZZO DI BORGO	Port de Toga		BP 97	20291 BASTIA Cedex	04 95 55 18 18	04 95 32 70 51		www.bastia-agglomeration.com				 	    	04 95 32 70 51	Commune	212003537	Ville-di-Pietrabugno			3296				0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	
94 - Corse	2B - Haute-Corse	3 - Corte	212000095 - Aléria	200015162	CC de l'Oriente	CC	0	0	2008-04-16	2008-04-16	RDC		22	6132	18	ASZSE	0	0	0		0		M.	Jean Claude	FRANCESCHI	Catéraggio			20270 Aléria	    	    						 	    	    	Commune	212000020	Aghione			236	200009827	SM pour la valorisation des déchets de Corse (SYVADEC)	329021	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	
94 - Corse	2B - Haute-Corse	3 - Corte	212000095 - Aléria	200015162	CC de l'Oriente	CC	0	0	2008-04-16	2008-04-16	RDC		22	6132	18	ASZSE	0	0	0		0		M.	Jean Claude	FRANCESCHI	Catéraggio			20270 Aléria	    	    						 	    	    	Commune	212000095	Aléria			2240	242000438	SIVOM de Rogna	620	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	
94 - Corse	2B - Haute-Corse	3 - Corte	212000095 - Aléria	200015162	CC de l'Oriente	CC	0	0	2008-04-16	2008-04-16	RDC		22	6132	18	ASZSE	0	0	0		0		M.	Jean Claude	FRANCESCHI	Catéraggio			20270 Aléria	    	    						 	    	    	Commune	212000129	Altiani			54				0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	
94 - Corse	2B - Haute-Corse	3 - Corte	212000095 - Aléria	200015162	CC de l'Oriente	CC	0	0	2008-04-16	2008-04-16	RDC		22	6132	18	ASZSE	0	0	0		0		M.	Jean Claude	FRANCESCHI	Catéraggio			20270 Aléria	    	    						 	    	    	Commune	212000152	Ampriani			24				0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	
94 - Corse	2B - Haute-Corse	3 - Corte	212000095 - Aléria	200015162	CC de l'Oriente	CC	0	0	2008-04-16	2008-04-16	RDC		22	6132	18	ASZSE	0	0	0		0		M.	Jean Claude	FRANCESCHI	Catéraggio			20270 Aléria	    	    						 	    	    	Commune	212000160	Antisanti			572				0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	
