Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
44 - Grand Est	88 - Vosges	1 - Épinal	218801603 - Épinal	200068757	CA d'Epinal	CA	0	0	2017-01-01	2017-01-01	RDC		78	113625	48	FPU	0	0	1		1		M.	Michel	HEINRICH		1 Avenue Dutac		88000 EPINAL	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218804136 - Saint-Dié-des-Vosges	200071066	CA de Saint-Dié-des-Vosges	CA	0	1	2017-01-01	2017-01-01	RDC		77	75039	54	FPU	0	0	0		0		M.	David	VALENCE		7 Place Saint-Martin		88100 SAINT-DIE-DES-VOSGES	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218803674 - Rambervillers	200005957	CC de la Région de Rambervillers	CC	0	0	2006-11-16	2006-11-16	RDC		30	13249	24	FPU	0	0	0	 	1	 	M.	Christophe	LEMESLE	Maison du territoire - Quartier Richard - 	59 B Avenue du 11 Novembre		88700 Rambervillers	    	    						 	03 29 29 03 87	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218804680 - Le Thillot	200033868	CC des Ballons des Hautes-Vosges	CC	0	0	2012-10-12	2012-10-12	RDC		8	15070	23	AAZSE	0	0	1		0		M.	Dominique	PEDUZZI	Mairie			88160 LE THILLOT	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218800787 - Bruyères	200042000	CC Bruyères-Vallons des Vosges	CC	0	0	2014-01-01	2014-01-01	RDC		34	15256	31	FPU	1	0	0		0		Mme	Virginie	GREMILLET		4 Rue de la 36ème division UX		88600 88600 Bruyères	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218803047 - Mirecourt	200068369	CC de Mirecourt Dompaire	CC	0	0	2017-01-01	2017-01-01	RDC		76	19396	28	FPU	1	0	1	Assainissement	1		Mme	Nathalie	BABOUHOT		32 Rue du Général Leclerc		88500 MIRECOURT	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218804151 - Saint-Étienne-lès-Remiremont	200068377	CC de la Porte des Vosges Méridionales	CC	0	0	2017-01-01	2017-01-01	RDC		10	29983	31	FPU	1	0	0		1		M.	Jean	HINGRAY		4 Rue des Grands Moulins		88200 SAINT ETIENNE LES REMIREMONT	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218803211 - Neufchâteau	200068559	CC de l'Ouest Vosgien	CC	0	1	2017-01-01	2017-01-01	RDC		70	23776	31	FPU	1	0	0		1		M.	Simon	LECLERC		2 Bis Avenue François de Neufchâteau		88300 NEUFCHATEAU	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218800795 - Bulgnéville	200068682	CC Terre d'Eau	CC	0	0	2017-01-01	2017-01-01	RDC		45	17977	27	AAZSE	0	0	0		1		M.	Christian	PREVOT	Maison du Développement	58 Bis Rue des Anciennes Halles		88140 BULGNEVILLE	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218801249 - Darney	200068773	CC des Vosges côté Sud Ouest	CC	0	0	2017-01-01	2017-01-01	RDC		60	12021	31	FPU	0	0	1		0		M.	Alain	ROUSSEL	Impasse du groupe scolaire			88260 DARNEY	    	    			ZA du chéri Buisson			88320 LAMARCHE	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218801165 - Cornimont	200096634	CC des Hautes Vosges	CC	0	0	2021-10-27	2022-01-01	RDC		14	21493	10	FPU	0	0	0		0		M.	Didier	HOUOT		24 Rue de la 3ème DIA		88310 CORNIMONT	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218801967 - Gérardmer	200096642	CC Gérardmer Hautes Vosges	CC	0	0	2021-10-27	2022-01-01	RDC		8	14954	13	AAZSE	0	0	0		0		M.	Stessy	SPEISSMANN		16 Rue Charles de Gaulle		88400 GERARDMER	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218803138 - Moriville	200018042	SI scolaire "Les Jeunes Chênes"	SIVU	0	0	2008-12-26	2008-12-26	POPUL		4	1265	1	CBUFI	0	0	0	 	0	 	M.	Alain	GAMET		201 Route de Moriville		88330 MORIVILLE	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218802460 - Hymont	200023745	Syndicat scolaire du Pot Cuit et de la Saule	SIVU	0	0	2009-12-31	2009-12-31	POPUL		5	966	2	CFISC	0	0	0		0		M.	Claude	VALDENAIRE	Mairie			88500 Hymont	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218803245 - La Neuveville-sous-Châtenois	200026151	SI du Breuil	SIVU	0	0	2010-10-07	2010-10-07	MEMNB		2	821	1	CFISC	0	0	0	 	0	 	M.	Didier	MEDERLE	Mairie			88170 LA NEUVEVILLE-sous-CHATENOIS	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218805232 - Vouxey	200031458	SI d'assainissement Vair-Sermone	SIVU	0	0	2012-02-15	2012-02-15	MEMNB		2	377	1	CFISC	0	0	0		0		M.	thierry	BONNEVILLE	Mairie			88 VOUXEY	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218802908 - Martigny-les-Gerbonvaux	200036838	SI d'eau et d'assainissement des Côtes et de la Ruppe	SIVU	0	0	2012-12-31	2012-12-31	POPUL		8	1052	3	CBUDG	0	0	0	 	0	 	Mme	Jenny	WILLEMIN		325 Route Nationale		88300 MARTIGNY-les-GERBONVAUX	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218802627 - Laveline-devant-Bruyères	200039162	SI de Jussarupt avec Herpelmont, Laveline-devant-Bruyères (SIJAHL)	SIVU	0	0	2013-09-01	2013-09-01	MEMNB		3	1129	3	CBUDG	0	0	0		0		M.	Jean-Marc	CERVA	Mairie			88600 LAVELINE-devant-BRUYERES	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218801736 - Florémont	200042869	Syndicat des eaux du Haut du Mont	SIVU	0	0	2014-01-01	2014-01-01	MEMNB		24	3399	1	AUCUN	0	0	0		0		M.	Jean-Luc	THIERY	Station de Pompage	1 Route de Brantigny		88130 FLOREMONT	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218801603 - Épinal	200050748	Syndicat départemental d'électricité des Vosges	SIVU	0	0	2013-03-06	2013-03-06	POPUL		504	364086	1	AUCUN	0	0	0	redevances électricité	0		M.	Serge	RENAUX		28 Rue de la Clé d'Or	BP 142	88004 EPINAL Cedex	    	    						 	    	    	
